feat_AR1_kNDVI,impAR1_kNDVI
NTL_Sen,0.00028276964
NTL,0.0005057775
PF,0.000510401
SOC,0.0005237264
HFP_Sen,0.0006093025
PRE_Sen,0.0006453399
SLP,0.00065045187
OCD,0.0006679758
TMP_CV,0.00068983453
ASP,0.0007422324
TN,0.0007561539
WTD,0.000766611
Tmax_Sen,0.00076876144
Tmax_CV,0.00077540916
LST_CV,0.0007930288
Tmin_Sen,0.0008142326
Clay,0.00081817206
SM_Sen,0.00083796866
PDSI_CV,0.0008720417
SM,0.00088107405
Sand,0.0008907562
Tmin_CV,0.0009000892
RF,0.00092040526
Solar_Sen,0.00093839684
LST_Sen,0.0009636122
HFP,0.00101699
Tmin,0.0010490682
SLA,0.0010752999
TMP_Sen,0.0010815794
PDSI_Sen,0.0010872924
PDSI,0.001095077
LPC,0.0010958639
CEC,0.0011793571
FA,0.001227317
TopoDV,0.0012290609
NSR,0.0013014385
CH,0.0013034715
VPD_CV,0.0013083032
AWC,0.0014227084
FL,0.0014934138
IF,0.0015337329
Solar_CV,0.0016601583
RD,0.0017804834
TMP,0.0017919078
ELEV,0.0018683197
FG,0.0020912816
LDMC,0.0024862834
Fire_F,0.0025158576
BDOD,0.0026362177
VPD_Sen,0.002680473
PRE,0.0029388366
SD,0.0030616063
LNC,0.0032180636
Tmax,0.0037519806
PRE_CV,0.0037584263
TD,0.0042320206
SM_CV,0.0043406487
VPD,0.009356369
Solar,0.011941943
PH,0.022766503
LST,0.023200633
FC,0.03187002
