feat_AR1_kNDVI_Sen,impAR1_kNDVI_Sen
RF,3.3964512e-05
HFP_Sen,3.682951e-05
NTL,3.711723e-05
NTL_Sen,3.7579546e-05
IF,4.153602e-05
ELEV,4.2626252e-05
PF,4.2844094e-05
CH,4.2881704e-05
SD,4.7111538e-05
LST_Sen,4.828432e-05
FG,4.9408314e-05
Solar_CV,4.948584e-05
ASP,5.2355826e-05
AWC,5.2581585e-05
RD,5.3712585e-05
Tmin_Sen,5.417269e-05
PDSI_CV,5.4342952e-05
FA,5.524179e-05
FL,5.7092053e-05
Sand,5.7233283e-05
CEC,5.744515e-05
HFP,5.7797304e-05
Clay,5.9477672e-05
LDMC,5.9629554e-05
NSR,5.990053e-05
LST_CV,6.023732e-05
PRE_Sen,6.176877e-05
LPC,6.299406e-05
SLA,6.632714e-05
WTD,6.644534e-05
TN,6.843477e-05
SM_CV,6.851619e-05
Tmin_CV,6.9514965e-05
OCD,7.047437e-05
TopoDV,7.125326e-05
SLP,7.511418e-05
Tmin,7.519829e-05
SM,7.5458396e-05
TMP_Sen,7.629258e-05
PDSI_Sen,8.007374e-05
SM_Sen,8.179755e-05
TMP_CV,8.36544e-05
VPD_CV,8.627455e-05
VPD_Sen,8.938206e-05
SOC,9.09419e-05
Tmax_CV,9.43026e-05
BDOD,0.00010052611
TD,0.0001042015
Tmax_Sen,0.00010474489
PDSI,0.000105702275
PRE,0.00010634844
PRE_CV,0.000107608575
Fire_F,0.00012085068
TMP,0.00012743115
PH,0.0001278393
LNC,0.00018389024
Solar_Sen,0.00019981009
Solar,0.00021450629
FC,0.0002347202
Tmax,0.0003080707
LST,0.0006762134
VPD,0.00068686943
AR1_kNDVI,0.0023343833
AR1_kNDVI_CV,0.0023378858
